name,language,slug,bpm,genre_variant,age,city,hobby,relationship,seed,enabled
Sarah,en,sarah-birthday-edm-party,128,birthday_edm_party_v6_restore,,,,,2664429003,false
Suhani,hi,suhani-birthday-edm-party,128,celebratevibes_v2,,,,,346113577,true
Jaaniya,hi,jaaniya-guitar-cover,84,song_guitar_cover,,,,,,false
Gaurav,en,gaurav-happy-birthday,124,party_dance,,,,,,false
